Review.text,Product,Review,Authentic2,Verify,id
"We cook a variety of items in this product, fast, efficient, and bought a book of recipes. Easy to clean, does not take a lot of room to store. We would highly recommend this product.",p1,r1,-1,1,1
I purchased this for my son who is on the Keto diet.  He was eating a lot of steak which got expensive.  I got this for him so he could get less expensive cuts of meat and cook them quickly when he gets home from work.  He is really having a good time with his pot and is texting me pictures of very healthy meals that he's making.  He loves being able to cook a roast or a chicken quickly and having leftovers for lunch the next day.,p1,r2,-1,0,2
"The Instant Pot is INCREDIBLE. I can make pot roast in under 1.5 hours on a busy weeknight, and butternut squash soup in as little as 8 minutes. This is a great purchase for anyone who runs a busy schedule but loves to cook meals day-of. Of all the kitchen appliances I have purchased, this is easily the one that gets the most use, followed by the blender and food processor.",p1,r3,0,1,3
This was a gift and I will continue to give them  to my children and persons getting married! Such a great product.  We use ours all the time.,p1,r4,0,0,4
"This thing literally changed my life. When you're keeping a Paleo diet, you have to cook a lot. The instant pot takes a little bit of the sting out of it. It really is set and forget - for most of my meals I just throw all the ingredients in and set it for a time I found online. This means I can often cook more than one meal at once, and the large capacity means I can always have leftovers for lunch the next day. This thing will save you so many hours of annoyance, and it's the easiest thing to clean that I own. It has completely replaced my crock pot, with the added benefit of it not having to stink my house up for 10 hours. Instead, the same meal can be done in literally thirty minutes. I wish I had bought this thing years ago.",p1,r5,1,1,5
"I feel like an infomercial actor ever since I purchased the Instapot because I can't shut up about it. I frickin' love this thing. I cook nearly all of my meals in it and I do so very, very quickly. I do recommend purchasing an Instapot cookbook to go with it, it will really help with learning to utilize it to it's full potential. I cook all of my meals for a week in just a couple of hours. This specific size is perfect for myself and my husband, and leftovers for each of us. We plan our meals and waste a lot less now that we have this.",p1,r6,1,0,6
"This is the greatest trilogy and set ever written.  The Master of Fantsy, J.R.R. Tolkien, showed us his story-telling talent in these books.  They deal with Bilbo's(the legendary hobbit from The Hobbit) nephew acquiring  the ring of Bilbo's and his quest to destroy it.  Men, Dwarves, Hobbits,  Elves, and Wizards team together in a last and final stand againg the evil  Sauron, in a tale that will captivate the reader for hours, and never leave  him.  Classic Good vs. Evil--but in the greatest form ever imagined.  Essential for any fantasy lover, great for anyone else.  I highly recommend  it! (as should have been obvious by now)",p2,r1,-1,1,7
"Nothing that I can think of. So I'll simply quote part of Edward Wagenknecht's review of The Two Towers (the second part of the novel) for the Chicago Tribune:""To sum it all up, here is a wonderful story, set in a world which paralyzes the imagination, and told in magnificent prose. What more can an author give?""What indeed?",p2,r2,-1,0,8
I learned what tears of joy and tears of exquisite beauty were the first time I read this book. I have relearned that those happy things in each of the 20 odd times I have read this. Truth and beauty lie here like stones on the ground just waiting for you to pick them up. Enter Middle Earth with an open heart and you will find things you never dreamt of. I just bought a ticket to watch "The Return of the King" by myself. Alone because I know those tears will flow and I don't want any silly self consciousness to get in the way of enjoying seeing with my eyes a depiction what has brought such great joy to me in reading.,p2,r3,0,1,9
"Having just re-read this after 23 years since the first read, I must admit  it's much better when it's NOT required reading in high school!  This  series has everything you need to take you on a magical fantasy ride.  I  can't possibly say anything that has not already been said about this  trilogy.  You'll find suspense, surprises, magic, hobbitts, elves, dwarves,  magical forests, good and evil...it covers the full scale of a satisfying  read.  In fact, I was sad to see it end and made a pact to myself to read  it again next year.",p2,r4,0,0,10
